Month,bed_count,icu_count,oxygen_count
6,7550,539,475
9,7484,629,335
6,7796,212,472
4,6963,254,393
11,5021,921,305
2,6633,830,375
5,7775,549,464
6,7337,393,306
2,7468,393,439
3,6160,397,443
11,5069,933,380
1,7718,336,420
4,5110,311,303
9,7439,814,352
6,6805,128,464
3,5403,511,394
7,5919,474,362
10,5004,637,344
7,7437,333,466
10,7258,684,430
8,5907,989,313
8,5161,994,422
12,6019,222,381
1,5822,529,429
7,6002,745,436
10,7714,604,328
2,5661,299,389
7,5510,894,311
11,6289,929,395
2,6925,435,305
2,6375,928,365
5,7615,743,411
8,5418,273,443
7,7989,124,320
6,5707,999,336
2,5973,208,337
10,7144,574,448
10,5989,145,423
6,6852,503,498
4,7982,410,391
9,7358,713,403
4,6926,983,428
8,7874,989,425
5,6837,226,454
8,6313,535,500
4,6809,472,452
3,7226,329,471
3,6316,424,300
12,7341,328,480
12,5398,846,495
11,6013,759,435
7,7491,825,452
10,5302,296,333
7,6842,239,462
10,7433,606,498
3,7460,171,495
12,7693,924,434
11,5252,537,459
1,5708,448,491
8,7328,793,470
1,6311,768,464
5,5488,260,333
10,5952,296,489
10,5716,913,356
8,7909,701,300
1,7708,914,494
12,5108,843,368
11,5416,646,427
1,5044,936,455
3,5059,486,396
1,7561,850,447
11,7925,648,389
3,6506,899,366
6,6550,266,379
8,5045,511,368
1,7651,831,303
6,7730,949,376
7,7935,933,308
4,7130,128,415
3,5512,472,375
8,5845,967,377
6,6315,770,329
9,7271,597,468
4,7501,785,347
8,6084,628,499
4,7832,184,499
10,6283,706,319
12,6011,545,434
1,5424,589,391
3,6880,765,424
1,5477,352,447
12,5744,911,480
3,5524,844,478
3,6757,259,329
8,5906,395,403
12,7826,565,493
3,7720,148,425
10,5941,700,308
8,5560,321,418
8,5893,712,497
4,5411,912,418
6,7091,525,322
9,7020,466,320
7,6473,134,359
3,7513,506,424
10,6976,811,385
3,7442,123,365
2,6339,951,311
1,6877,137,398
10,7710,257,455
10,6379,843,449
3,5862,534,500
7,6634,893,469
12,6076,691,348
3,7353,310,488
5,5383,986,423
12,6582,155,429
6,6580,492,465
3,7396,390,480
11,5250,264,410
10,7900,730,478
12,7905,745,405
4,6015,690,470
11,5723,335,425
7,5831,565,401
1,6723,469,488
2,6880,204,360
12,5533,876,475
8,7928,261,406
4,5934,225,481
8,6143,424,424
4,6909,897,436
9,6982,783,442
9,5293,591,304
5,6111,566,331
4,6741,642,425
6,7916,997,418
8,6105,611,416
5,6906,1000,358
11,5697,929,324
2,6422,155,396
1,7471,520,466
8,5802,794,310
5,6079,377,316
9,5169,321,358
12,7075,485,397
2,7528,343,415
7,7894,831,359
4,5456,392,433
11,6766,383,429
4,7924,504,396
9,5158,428,365
8,7750,305,354
6,5358,255,319
7,7204,618,468
7,6927,286,478
1,6459,309,328
6,7520,807,321
1,6730,146,447
7,7381,295,481
6,5796,888,437
5,7464,750,307
2,5893,492,319
12,6648,496,490
